id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
ts86413,AJ and the Queen,SHOW,2020,2020,TV-14,51,0,1.0,7.4,8129.0,7.7,10.486,1,comedy,2,US,1
ts252341,Chef's Table: BBQ,SHOW,2020,2020,TV-14,44,0,1.0,7.8,1006.0,7.9,3.433,1,documentation,1,US,1
ts90413,Gigantosaurus,SHOW,2019,2010,TV-G,13,0,3.0,6.4,173.0,7.0,10.686,1,animation,1,FR,2
ts275111,Rainbow High,SHOW,2020,2020,TV-Y,6,0,3.0,5.8,141.0,9.8,2.632,1,comedy,3,US,1
ts87008,Turn Up Charlie,SHOW,2019,2010,TV-MA,27,0,1.0,7.0,7431.0,7.2,5.235,1,comedy,3,GB,1
tm855600,The Stand In,MOVIE,2020,2020,R,97,0,,4.7,3439.0,5.6,7.135,1,comedy,2,US,1
tm503508,Earthquake Bird,MOVIE,2019,2010,R,107,0,,5.9,14519.0,5.9,10.326,1,romance,4,GB,2
tm824165,Falling Inn Love,MOVIE,2019,2010,Not Rated,98,0,,5.6,19559.0,6.529,19.061,1,romance,2,US,1
tm425698,The Wedding Guest,MOVIE,2019,2010,R,96,0,,5.8,5678.0,5.7,6.608,1,thriller,1,IN,2
tm446625,Miles Davis: Birth of the Cool,MOVIE,2019,2010,Not Rated,116,0,,7.4,1771.0,7.4,4.877,1,documentation,2,US,1
ts254045,Sneakerheads,SHOW,2020,2020,Not Rated,30,0,1.0,,,7.5,8.927,1,comedy,1,US,1
ts225716,Family Business,SHOW,2019,2010,TV-MA,33,0,3.0,7.4,4051.0,7.3,12.624,1,comedy,2,FR,1
ts88312,The Eddy,SHOW,2020,2020,TV-MA,58,0,1.0,7.1,2926.0,6.6,8.046,1,drama,2,FR,2
ts222917,Kevin Hart: Don't F**k This Up,SHOW,2019,2010,TV-MA,32,0,1.0,6.4,2020.0,6.2,1.443,1,documentation,1,US,1
tm918701,Don't Listen,MOVIE,2020,2020,Not Rated,98,0,,,,6.5,33.329,1,thriller,3,ES,1
tm850723,Altered Carbon: Resleeved,MOVIE,2020,2020,Not Rated,75,0,,6.5,6127.0,6.5,81.179,1,scifi,6,JP,1
tm855483,Have a Good Trip: Adventures in Psychedelics,MOVIE,2020,2020,Not Rated,85,0,,6.8,7707.0,6.9,12.231,1,documentation,2,US,1
ts101408,The Mess You Leave Behind,SHOW,2020,2020,TV-MA,45,0,1.0,6.7,9053.0,6.916,27.981,1,crime,3,ES,1
ts189629,"Nisman. The Prosecutor, the President and the Spy",SHOW,2019,2010,Not Rated,62,0,1.0,7.6,581.0,6.6,1.923,1,history,4,AR,1
ts215378,Love 101,SHOW,2020,2020,TV-14,46,0,2.0,7.5,14206.0,8.1,14.642,1,drama,3,TR,1
tm475836,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,MOVIE,2019,2010,Not Rated,30,0,,,,6.2,6.171,1,comedy,2,US,1
tm524282,Invader ZIM: Enter the Florpus,MOVIE,2019,2010,Not Rated,71,0,,7.4,5796.0,7.6,10.288,1,drama,9,US,1
tm857051,Forensic,MOVIE,2020,2020,PG-13,134,0,,6.8,5124.0,6.6,5.848,1,crime,2,IN,1
ts223126,The Confession Killer,SHOW,2019,2010,TV-14,48,0,1.0,7.4,8984.0,7.3,4.44,1,crime,2,US,1
