person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
917,Liev Schreiber,ACTOR,3,6.73,6.75
918,Omar Epps,ACTOR,2,7.5,6.45
920,Portia de Rossi,ACTOR,1,8.7,8.04
922,Joshua Jackson,ACTOR,2,7.75,7.55
923,Selma Blair,ACTOR,4,5.2,6.48
925,Wes Craven,DIRECTOR,1,7.4,7.3
931,Antonio Banderas,ACTOR,5,5.92,6.36
932,Birgitte Hjort Sørensen,ACTOR,2,8.35,8.25
933,Melanie Griffith,ACTOR,1,5.5,5.73
934,Dylan McDermott,ACTOR,4,7.12,7.04
935,Robert Forster,ACTOR,6,6.43,6.39
936,Tim McInnerny,ACTOR,1,7.6,7.6
937,Andy Nyman,ACTOR,4,7.12,6.96
937,Andy Nyman,DIRECTOR,1,6.5,6.6
938,David Ryall,ACTOR,1,6.8,6.5
941,Christa Campbell,ACTOR,1,6.1,6.0
946,Javier Bardem,ACTOR,1,6.9,6.5
948,Geraldine Somerville,ACTOR,1,7.8,7.69
962,Ray Stevenson,ACTOR,3,6.83,6.9
963,Ed Skrein,ACTOR,2,5.75,6.1
965,Gabriella Wright,ACTOR,2,6.8,5.95
971,Yuri Kolokolnikov,ACTOR,2,6.6,7.11
972,Felicitas Woll,ACTOR,1,3.8,5.5
975,Anatole Taubman,ACTOR,2,7.25,7.05
977,Luc Besson,DIRECTOR,1,8.5,8.32
986,James Coburn,ACTOR,1,6.1,6.0
988,Virginia Madsen,ACTOR,2,5.6,6.25
995,Mekhi Phifer,ACTOR,2,5.55,6.9
996,Josh Hartnett,ACTOR,1,6.4,6.2
1000,Martin Sheen,ACTOR,7,7.15,7.35
1002,Elden Henson,ACTOR,1,5.6,5.6
1005,John Heard,ACTOR,2,7.5,7.39
1007,Tim Blake Nelson,ACTOR,5,6.9,6.61
1027,Erin Fitzgerald,ACTOR,5,6.98,7.6
1050,Ernest Borgnine,ACTOR,2,7.75,7.58
1052,Michael Murphy,ACTOR,2,7.4,7.25
1061,George Kennedy,ACTOR,1,7.7,7.6
1062,Dick Miller,ACTOR,1,7.7,7.6
1063,Robert Aldrich,DIRECTOR,1,7.7,7.6
1069,Will Ferrell,ACTOR,7,6.43,6.17
1071,Mark Wahlberg,ACTOR,5,7.25,7.21
1072,Linda Cardellini,ACTOR,2,7.95,7.3
1074,Hannibal Buress,ACTOR,1,6.6,6.4
1075,LaMonica Garrett,ACTOR,1,5.3,6.0
1076,Lee Tockar,ACTOR,9,5.98,6.04
1077,Alessandra Ambrosio,ACTOR,2,7.6,7.21
